train_loss,epoch,step,val_loss
-0.3696273909769956,0,49,
-0.22737777717015506,0,99,
-0.6449977353175025,0,149,
-0.5277502397187495,0,199,
-0.6830315726745462,0,249,
,0,249,41.8750599507852
-0.7806608001934499,1,299,
-0.9126315142493344,1,349,
-1.250565982116967,1,399,
-1.0827981450658464,1,449,
-1.3281417911069773,1,499,
,1,499,11.690318502699878
-0.9782819820059898,2,549,
-1.3137070091063074,2,599,
-1.316679479781996,2,649,
-1.3743088736093692,2,699,
-1.5403830416962283,2,749,
,2,749,26.58146778636536
-1.0163616865563632,3,799,
-1.5432894221517293,3,849,
-1.4828402043182867,3,899,
-1.4667258242989443,3,949,
-1.5836059240738067,3,999,
,3,999,13.260562928665488
-1.203319791592639,4,1049,
-1.6215484444235724,4,1099,
-1.4260664405506138,4,1149,
-1.5661561119228051,4,1199,
-1.5533820966256089,4,1249,
,4,1249,14.409885292087
-1.2746173326589885,5,1299,
-1.6318999992072332,5,1349,
-1.7220864323978409,5,1399,
-1.6589977567711942,5,1449,
-1.5916862226902904,5,1499,
,5,1499,16.79378457983325
-1.2876356994291651,6,1549,
-1.731360708575093,6,1599,
-1.7075383017443655,6,1649,
-1.697949098879343,6,1699,
-1.686718977861087,6,1749,
,6,1749,7.845952441189238
-1.3599826584622945,7,1799,
-1.7145761590937305,7,1849,
-1.7221581444619285,7,1899,
-1.6771662783285375,7,1949,
-1.715651436476381,7,1999,
,7,1999,15.141141414394268
-1.4794082390795797,8,2049,
-1.723235881601091,8,2099,
-1.731739529423153,8,2149,
-1.8162853464449507,8,2199,
-1.7194082230035197,8,2249,
,8,2249,32.92732226656346
-1.4616150124141716,9,2299,
-1.7778372102558684,9,2349,
-1.75480700757047,9,2399,
-1.7909995386688435,9,2449,
-1.7066276522569717,9,2499,
,9,2499,22.851427191788982
-1.5775385597841716,10,2549,
-1.8203840914310636,10,2599,
-1.6532147875157817,10,2649,
-1.8934826101323383,10,2699,
-1.8488588833074437,10,2749,
,10,2749,4.042874208736656
-1.6127561907908379,11,2799,
-1.8647926242069426,11,2849,
-1.8645705787230136,11,2899,
-1.8925033364632768,11,2949,
-1.7990507102091045,11,2999,
,11,2999,6.949905529310329
-1.5424130779022205,12,3049,
-1.862495433114792,12,3099,
-1.8462500913796982,12,3149,
-1.8756317531622406,12,3199,
-1.7954059756889016,12,3249,
,12,3249,15.646919991438313
-1.645976605625948,13,3299,
-1.8626106219656888,13,3349,
-1.8907714920955918,13,3399,
-1.8108473695568477,13,3449,
-1.7630599865376924,13,3499,
,13,3499,17.44813482555384
-1.612184945961402,14,3549,
-1.8158501186312679,14,3599,
-1.8382006985221273,14,3649,
-1.8173812178122764,14,3699,
-1.7815614896898788,14,3749,
,14,3749,58.05914808111719
-1.6074920764864902,15,3799,
-1.8154004330706983,15,3849,
-1.8260609193841444,15,3899,
-1.9911134380489826,15,3949,
-1.8389588886016868,15,3999,
,15,3999,21.763347013572513
