train_loss,epoch,step,val_loss
-0.38753810897393537,0,49,
-0.5862946616234335,0,99,
-0.5017544075597384,0,149,
-0.5086936290393145,0,199,
-0.676049250599096,0,249,
,0,249,-0.38156116435610965
-0.7397789581402878,1,299,
-0.9177335114501521,1,349,
-0.7371795166399475,1,399,
-0.7635256683364187,1,449,
-0.899559570503611,1,499,
,1,499,1.6052823986191995
-0.7833216534326937,2,549,
-1.450044205409362,2,599,
-1.168440988952335,2,649,
-1.3694810041496843,2,699,
-1.3466826225214552,2,749,
,2,749,-0.6348235502011508
-1.1674652412405069,3,799,
-1.628051785347988,3,849,
-1.3241524579132462,3,899,
-1.5867243767705792,3,949,
-1.468118928295605,3,999,
,3,999,9.083001581951706
-1.2523320172722712,4,1049,
-1.762701310241665,4,1099,
-1.3876944022804691,4,1149,
-1.567615766718698,4,1199,
-1.7180634478561359,4,1249,
,4,1249,1.5385518297005565
-1.2341573476015317,5,1299,
-1.8156178399770158,5,1349,
-1.5289873943056729,5,1399,
-1.5706849668507803,5,1449,
-1.7885733547422364,5,1499,
,5,1499,6.4973979706821074
-1.3262463149968515,6,1549,
-1.8456439729160905,6,1599,
-1.509458987346248,6,1649,
-1.6536345848939218,6,1699,
-1.751430675698152,6,1749,
,6,1749,10.705647627370615
-1.3696475790907734,7,1799,
-1.8570908458561581,7,1849,
-1.4769253705856353,7,1899,
-1.6039982787742186,7,1949,
-1.8412119633579205,7,1999,
,7,1999,-1.2930893098340515
-1.3260849269576886,8,2049,
-1.9331252385431013,8,2099,
-1.6515153673884648,8,2149,
-1.6089690906683929,8,2199,
-1.8107771665873043,8,2249,
,8,2249,10.061932520476411
-1.3769628356220864,9,2299,
-2.039334193155601,9,2349,
-1.6218794518211441,9,2399,
-1.7046008928898049,9,2449,
-1.877596116927823,9,2499,
,9,2499,17.353993284139214
-1.4805596096384692,10,2549,
-2.054263487839325,10,2599,
-1.627361261911545,10,2649,
-1.7492045471536626,10,2699,
-1.8170888823781053,10,2749,
,10,2749,13.562345590587102
-1.4234535746168882,11,2799,
-2.028827575280258,11,2849,
-1.538523380142482,11,2899,
-1.8034047474798724,11,2949,
-1.9429112530340515,11,2999,
,11,2999,5.6240558991639364
-1.4333101977822063,12,3049,
-2.0019577719498045,12,3099,
-1.6754421292885722,12,3149,
-1.76080127855119,12,3199,
-1.8984104385390355,12,3249,
,12,3249,2.6864510805396726
