train_loss,epoch,step,val_loss
-0.09474969495270757,0,49,
-0.3869769000677219,0,99,
-0.47396251134992307,0,149,
-0.41632759275200604,0,199,
-0.24869633543912872,0,249,
,0,249,9.327259927629495
-0.30407926685527276,1,299,
-0.4965931987167109,1,349,
-0.4351254658675079,1,399,
-0.5487871513858416,1,449,
-0.3105723145076973,1,499,
,1,499,9.710788382864706
-0.5667913780029603,2,549,
-0.6799481375905123,2,599,
-0.6455683432926449,2,649,
-0.6997220480938222,2,699,
-0.546821191592183,2,749,
,2,749,40.737876440985524
-0.7353256069547975,3,799,
-0.8694831559537055,3,849,
-0.883900169464475,3,899,
-1.0400443526047136,3,949,
-0.8836389565853919,3,999,
,3,999,4.7968250346172345
-0.8849751784317428,4,1049,
-1.0176181309593093,4,1099,
-1.0963244963125203,4,1149,
-1.1571617679720412,4,1199,
-1.0037189349140805,4,1249,
,4,1249,54.46114438623015
-1.0553740087504062,5,1299,
-1.1286977466432007,5,1349,
-1.1494807025316192,5,1399,
-1.258604439207275,5,1449,
-1.2301981437834355,5,1499,
,5,1499,30.346756807120464
-1.1299567016925791,6,1549,
-1.310356741516384,6,1599,
-1.2457485582977097,6,1649,
-1.2542128203584602,6,1699,
-1.2612590886575172,6,1749,
,6,1749,28.96651522948882
-1.28915637458226,7,1799,
-1.3508891422469724,7,1849,
-1.2484041709811065,7,1899,
-1.3198049200392346,7,1949,
-1.3224776086822252,7,1999,
,7,1999,23.03951020979648
-1.3808436638258001,8,2049,
-1.4404111734654323,8,2099,
-1.2017897825124169,8,2149,
-1.3187028874581324,8,2199,
-1.372337945818086,8,2249,
,8,2249,1.3894541777543423
-1.291720611154696,9,2299,
-1.4029142460574873,9,2349,
-1.2483902348256977,9,2399,
-1.3783592785467753,9,2449,
-1.3862105607310438,9,2499,
,9,2499,16.30964215806051
-1.388884072701238,10,2549,
-1.5940777508604018,10,2599,
-1.332171673008952,10,2649,
-1.4176970254102237,10,2699,
-1.3698427208271133,10,2749,
,10,2749,14.421838754352912
-1.3442138928070007,11,2799,
-1.481481756051323,11,2849,
-1.3705268212193298,11,2899,
-1.4483248520326448,11,2949,
-1.260815280462634,11,2999,
,11,2999,5.001596129156984
-1.4210619692793403,12,3049,
-1.5652616895468834,12,3099,
-1.236159847079686,12,3149,
-1.4472487775457346,12,3199,
-1.425959966035057,12,3249,
,12,3249,-0.5245004429097372
-1.3693049120386114,13,3299,
-1.670338070145863,13,3349,
-1.3445721327004465,13,3399,
-1.3761522784890312,13,3449,
-1.3517030791188107,13,3499,
,13,3499,16.07877615564769
-1.4593584391494767,14,3549,
-1.6519290300114156,14,3599,
-1.3527760390286472,14,3649,
-1.482625026086521,14,3699,
-1.445244901074429,14,3749,
,14,3749,6.144265513830402
-1.323928360912753,15,3799,
-1.675114912434815,15,3849,
-1.4868810036079985,15,3899,
-1.5193253971110539,15,3949,
-1.3489913751852183,15,3999,
,15,3999,25.999722893238395
-1.5494687639192088,16,4049,
-1.7302233279666746,16,4099,
-1.5153370086784361,16,4149,
-1.5589544262374062,16,4199,
-1.3668493215045903,16,4249,
,16,4249,26.235600384066853
-1.5148437416127456,17,4299,
-1.687129598706144,17,4349,
-1.5174900523478394,17,4399,
-1.5949289998608376,17,4449,
-1.413215016430368,17,4499,
,17,4499,2.9298816340053513
