train_loss,epoch,step,val_loss
-0.0003390632875572841,0,49,
-0.10191419357423159,0,99,
-0.3506221711943964,0,149,
-0.2938611839673846,0,199,
-0.36215137385573426,0,249,
,0,249,41.63593483498917
-0.32607762712428867,1,299,
-0.33971578826523263,1,349,
-0.4951639100620202,1,399,
-0.45910981672905615,1,449,
-0.42425398950159465,1,499,
,1,499,22.00491532656027
-0.45921302041798917,2,549,
-0.4203844406731352,2,599,
-0.49045834844316305,2,649,
-0.5078828727682994,2,699,
-0.4944239848384959,2,749,
,2,749,28.804385757974348
-0.4570838970099227,3,799,
-0.37843530042708995,3,849,
-0.5443318313582206,3,899,
-0.6256506641905362,3,949,
-0.507550328747064,3,999,
,3,999,35.031697727951276
-0.5615476466934908,4,1049,
-0.41596088259991015,4,1099,
-0.615838730630605,4,1149,
-0.665892560968735,4,1199,
-0.49589140342992133,4,1249,
,4,1249,6.107074637574941
-0.5548481200485504,5,1299,
-0.6759587122531676,5,1349,
-0.7034738001232923,5,1399,
-0.6895044033132893,5,1449,
-0.7087636157980088,5,1499,
,5,1499,6.4257429565225594
-0.8850266847948844,6,1549,
-0.7874718913618608,6,1599,
-0.9632219295491637,6,1649,
-0.7700015430603613,6,1699,
-0.8724446499483438,6,1749,
,6,1749,34.04341023526359
-0.9806340571351577,7,1799,
-1.076111616694104,7,1849,
-1.0698056922427313,7,1899,
-0.8508278193273764,7,1949,
-0.9325673046636553,7,1999,
,7,1999,3.0473166053838963
-1.0509601023910717,8,2049,
-1.0186980615379402,8,2099,
-1.2376085237992704,8,2149,
-0.9301408407613978,8,2199,
-0.9148866392931092,8,2249,
,8,2249,32.720787141406234
-1.1291174829571915,9,2299,
-1.1705230108343618,9,2349,
-1.2150710751672895,9,2399,
-1.116755278461427,9,2449,
-0.9762336161659675,9,2499,
,9,2499,46.19360446008442
-1.1154744650309008,10,2549,
-1.1810291284789434,10,2599,
-1.4092977726959695,10,2649,
-1.1683010252014558,10,2699,
-1.0323044766708394,10,2749,
,10,2749,7.862181180437853
-1.1170950661220387,11,2799,
-1.2070790414904868,11,2849,
-1.3600739050379493,11,2899,
-1.156253061543297,11,2949,
-0.996282541607663,11,2999,
,11,2999,19.64898138397819
-1.1549851698352631,12,3049,
-1.2297024571816704,12,3099,
-1.4717237869831281,12,3149,
-1.2877289530848375,12,3199,
-1.065173101448644,12,3249,
,12,3249,9.788651365784512
