train_loss,epoch,step,val_loss
-0.15364308362984902,0,49,
-0.47737668900445707,0,99,
-0.4849274952104681,0,149,
-0.3881534013426724,0,199,
-0.5886736499729257,0,249,
,0,249,4.1373180116571024
-0.5009797381095207,1,299,
-0.6963693934986823,1,349,
-0.961610069042568,1,399,
-0.7647036703090153,1,449,
-0.9234927594908182,1,499,
,1,499,0.7114126981722981
-0.9584306830114606,2,549,
-1.3033283696651812,2,599,
-1.319523604950214,2,649,
-1.0264438684888693,2,699,
-1.2287935258155027,2,749,
,2,749,3.226571745821079
-1.0383240982121116,3,799,
-1.5861410401854652,3,849,
-1.3947197763822454,3,899,
-1.2025544821500065,3,949,
-1.5306062855407414,3,999,
,3,999,2.2849802584621637
-1.288195338793053,4,1049,
-1.6817380669700939,4,1099,
-1.5152443823707968,4,1149,
-1.11286342222599,4,1199,
-1.5856590307633316,4,1249,
,4,1249,24.287977892452712
-1.4036155004234863,5,1299,
-1.5772771197638842,5,1349,
-1.600057181183673,5,1399,
-1.449263714233503,5,1449,
-1.4244988813317407,5,1499,
,5,1499,6.191180977496235
-1.429497560451328,6,1549,
-1.8113808892318866,6,1599,
-1.61482496701837,6,1649,
-1.5061295645933233,6,1699,
-1.5364804816504516,6,1749,
,6,1749,0.1741114541534064
-1.435408570140168,7,1799,
-1.866131034245356,7,1849,
-1.6212320968701015,7,1899,
-1.3314712716444241,7,1949,
-1.6222825532562988,7,1999,
,7,1999,0.49299038308546933
-1.417543628031709,8,2049,
-1.895460195429302,8,2099,
-1.642201052541722,8,2149,
-1.4651409006721632,8,2199,
-1.590670856813469,8,2249,
,8,2249,12.330828028834487
-1.4464420475618938,9,2299,
-1.4275882591708975,9,2349,
-1.6798260481911278,9,2399,
-1.6382949488512801,9,2449,
-1.6417778997763,9,2499,
,9,2499,4.480113054007339
-1.5141259741014268,10,2549,
-1.8057006317312865,10,2599,
-1.6828554583657918,10,2649,
-1.5784918148188318,10,2699,
-1.6719908124907708,10,2749,
,10,2749,20.480142615752275
-1.5593190238049843,11,2799,
-1.5911132932716254,11,2849,
-1.7128397001596245,11,2899,
-1.6236364714580123,11,2949,
-1.6514816208534944,11,2999,
,11,2999,1.6454150532566183
