train_loss,epoch,step,val_loss
-0.22499847025022124,0,49,
-0.3622034899817468,0,99,
-0.619547992490872,0,149,
-0.4092353863131213,0,199,
-0.6279531844916417,0,249,
,0,249,3.3849330442219157
-0.8871751554696377,1,299,
-0.8761581653192136,1,349,
-1.2042615623537758,1,399,
-0.8110493377333503,1,449,
-1.0277607044748533,1,499,
,1,499,9.589712032027139
-1.2827005269447382,2,549,
-1.4040923485933898,2,599,
-1.5662432764139582,2,649,
-1.1665703647610934,2,699,
-1.1140869272676994,2,749,
,2,749,18.47961406581966
-1.445506680226325,3,799,
-1.501104663977339,3,849,
-1.5440525685299824,3,899,
-1.0091863303674335,3,949,
-1.1979340181695834,3,999,
,3,999,-0.2855906118433654
-1.485224202624553,4,1049,
-1.5139214953689148,4,1099,
-1.6434831433248076,4,1149,
-1.2609877344015494,4,1199,
-1.2770339837513882,4,1249,
,4,1249,22.162893752742246
-1.5887376962023219,5,1299,
-1.4808821942731538,5,1349,
-1.6514416859150278,5,1399,
-1.051479906668217,5,1449,
-1.2776416433962223,5,1499,
,5,1499,32.8042153264274
-1.6748872074540921,6,1549,
-1.5274191432530286,6,1599,
-1.636151297061255,6,1649,
-1.2195031959589522,6,1699,
-1.3015826366225096,6,1749,
,6,1749,-0.9518934633125508
-1.641701922327588,7,1799,
-1.5615064866656998,7,1849,
-1.7018901883300637,7,1899,
-1.2574473828418953,7,1949,
-1.3627558678082465,7,1999,
,7,1999,15.458900194966594
-1.5744085095527893,8,2049,
-1.5715128979074273,8,2099,
-1.7446118374895903,8,2149,
-1.081750514146891,8,2199,
-1.5096045666790985,8,2249,
,8,2249,-0.8305115986332289
-1.7139223150974066,9,2299,
-1.7181505224645772,9,2349,
-1.7654926476210113,9,2399,
-1.355590327835982,9,2449,
-1.3624474253409509,9,2499,
,9,2499,-1.0380540060944639
-1.7132579289715417,10,2549,
-1.6645704476499608,10,2599,
-1.765787727800095,10,2649,
-1.2561556996236294,10,2699,
-1.4947736448517621,10,2749,
,10,2749,30.488509051852194
-1.8113264064947248,11,2799,
-1.6029630458830486,11,2849,
-1.7206858637410374,11,2899,
-1.192503781791542,11,2949,
-1.4432056224946683,11,2999,
,11,2999,0.1877746489974512
-1.8263112305385012,12,3049,
-1.7548201817059326,12,3099,
-1.88805073723965,12,3149,
-1.1712071396352846,12,3199,
-1.4497015472940138,12,3249,
,12,3249,0.2483093365778489
-1.849616486065381,13,3299,
-1.6007643435052414,13,3349,
-1.7934811993027096,13,3399,
-1.1897367183517322,13,3449,
-1.4733246674184488,13,3499,
,13,3499,-0.4920155358680239
-1.8925677706221835,14,3549,
-1.8100867178491424,14,3599,
-1.8647189895419884,14,3649,
-1.421455512442092,14,3699,
-1.5999604292834622,14,3749,
,14,3749,3.790275910861935
