train_loss,epoch,step,val_loss
-0.316200674959505,0,49,
-0.2719864693362801,0,99,
-0.45470176142891594,0,149,
-0.4400241902365343,0,199,
-0.5245424037525726,0,249,
,0,249,-0.5069403526123758
-0.4219684554993477,1,299,
-0.36547404353562074,1,349,
-0.534315677521009,1,399,
-0.5718700894872253,1,449,
-0.5352680405573236,1,499,
,1,499,-0.5478939798189706
-0.3994933492737789,2,549,
-0.4186719037648432,2,599,
-0.5007610139252132,2,649,
-0.5878576013113692,2,699,
-0.5891710852797125,2,749,
,2,749,-0.4304025031337276
-0.43011295525528004,3,799,
-0.47639372826645765,3,849,
-0.5084850704525765,3,899,
-0.6216085682450632,3,949,
-0.5938985462889028,3,999,
,3,999,-0.042494978518391714
-0.4773808508910746,4,1049,
-0.5074522986485026,4,1099,
-0.5575480396407428,4,1149,
-0.5348734101953783,4,1199,
-0.6150518519518848,4,1249,
,4,1249,-0.18512055255771895
-0.5143498844065264,5,1299,
-0.5390298421517383,5,1349,
-0.5401939126620143,5,1399,
-0.583721284585895,5,1449,
-0.5709970141892744,5,1499,
,5,1499,0.13233411005196202
-0.5536221237075032,6,1549,
-0.56343380187031,6,1599,
-0.5823144067756059,6,1649,
-0.48788040189759796,6,1699,
-0.6249925517280097,6,1749,
,6,1749,-0.5678746577156542
-0.511953205068608,7,1799,
-0.4714550969287532,7,1849,
-0.5830367126958227,7,1899,
-0.5464116472246943,7,1949,
-0.6918334658543563,7,1999,
,7,1999,-0.2534754538216806
-0.45131227023921605,8,2049,
-0.6326286308900282,8,2099,
-0.556489751411748,8,2149,
-0.7456827439285214,8,2199,
-0.6876267285601609,8,2249,
,8,2249,-0.5497091852859658
-0.552476029434076,9,2299,
-0.5974830255426622,9,2349,
-0.5924374731259148,9,2399,
-0.6743159709171782,9,2449,
-0.6875404010747004,9,2499,
,9,2499,-0.463929721494416
-0.5079220293677755,10,2549,
-0.6378080980822731,10,2599,
-0.5610730801426249,10,2649,
-0.6987260923332985,10,2699,
-0.7134170602815608,10,2749,
,10,2749,0.40160494915850725
-0.5099577443111376,11,2799,
-0.6012338290816133,11,2849,
-0.726515772472359,11,2899,
-0.7876325348707054,11,2949,
-0.8505967864126174,11,2999,
,11,2999,0.31279239787513885
