train_loss,epoch,step,val_loss
-0.12029286116500826,0,49,
-0.41634942524217333,0,99,
-0.3259400032549826,0,149,
-0.25301671486387134,0,199,
-0.48174975084692706,0,249,
,0,249,3.077994750883906
-0.4111318861957547,1,299,
-0.5465297291150439,1,349,
-0.40439485394660624,1,399,
-0.31524387005353294,1,449,
-0.5339372499287411,1,499,
,1,499,1.4920533184788929
-0.5038158782821154,2,549,
-0.6116608347201788,2,599,
-0.5714929833324001,2,649,
-0.5041342710770382,2,699,
-0.5697336946591682,2,749,
,2,749,2.5379052357610363
-0.6015178328122195,3,799,
-0.7216770243331845,3,849,
-0.7987537995203768,3,899,
-0.6706589949629134,3,949,
-0.6051489002047972,3,999,
,3,999,4.864992565964956
-0.7951689623762159,4,1049,
-0.7744045429759308,4,1099,
-0.8485017313511463,4,1149,
-0.9375331234802022,4,1199,
-0.8091768908209103,4,1249,
,4,1249,38.21575593017303
-0.9927311823377272,5,1299,
-0.7824041579509458,5,1349,
-1.103232296838982,5,1399,
-1.2451467444318838,5,1449,
-0.9576976506584269,5,1499,
,5,1499,13.50630057322102
-1.163475374630594,6,1549,
-1.0168319639434558,6,1599,
-1.1832474452802901,6,1649,
-1.3244111163879735,6,1699,
-1.159509140730242,6,1749,
,6,1749,-0.4818570856028081
-1.331703546366994,7,1799,
-1.0874907016159086,7,1849,
-1.2383118163973863,7,1899,
-1.4322190640249655,7,1949,
-1.193120792757302,7,1999,
,7,1999,0.2917789747307259
-1.3323153547131867,8,2049,
-1.0888796706204316,8,2099,
-1.276756430422537,8,2149,
-1.4719500729802606,8,2199,
-1.220799750369297,8,2249,
,8,2249,5.142480808580208
-1.4291804864908508,9,2299,
-1.2321266886971847,9,2349,
-1.2955734380226,9,2399,
-1.4658879023972928,9,2449,
-1.2087438422963004,9,2499,
,9,2499,22.694555661673487
-1.4784343218814997,10,2549,
-1.1073039575549528,10,2599,
-1.3750283967304622,10,2649,
-1.4839204248759923,10,2699,
-1.2788310658339896,10,2749,
,10,2749,8.804706949971118
-1.5387576079841407,11,2799,
-1.2306049867147184,11,2849,
-1.2179658367522457,11,2899,
-1.4055160560420223,11,2949,
-1.2931665839582631,11,2999,
,11,2999,15.041901070872903
