train_loss,epoch,step,val_loss
-0.3752891715908748,0,49,
-0.7251289884446073,0,99,
-0.44374768555807975,0,149,
-0.7176559782187826,0,199,
-0.48196722377993195,0,249,
,0,249,14.618423525289016
-0.657907451470328,1,299,
-1.1774581736668983,1,349,
-0.9614103857087575,1,399,
-1.1006720612946648,1,449,
-0.9006463821403734,1,499,
,1,499,31.655477200679968
-0.9855347033414152,2,549,
-1.5067268138802894,2,599,
-1.2691085623699094,2,649,
-1.2417022923552146,2,699,
-1.173617331878888,2,749,
,2,749,15.757163562025283
-1.1392523855690364,3,799,
-1.6909460110732804,3,849,
-1.3387995461766629,3,899,
-1.4385377609352925,3,949,
-1.2902665420333106,3,999,
,3,999,2.67519876032349
-1.2030367429836464,4,1049,
-1.7232293514802883,4,1099,
-1.1523766664336061,4,1149,
-1.4381282311946322,4,1199,
-1.5551088031473967,4,1249,
,4,1249,16.093911475208003
-1.1958900028220811,5,1299,
-1.7468232305991007,5,1349,
-1.526810274501352,5,1399,
-1.4927254483133319,5,1449,
-1.414741623656738,5,1499,
,5,1499,6.894818729131087
-1.2346378261997797,6,1549,
-1.8117644009720704,6,1599,
-1.448776556069924,6,1649,
-1.6766722862116374,6,1699,
-1.5134012848273577,6,1749,
,6,1749,-1.0981810759391974
-1.356094025238392,7,1799,
-1.8074376544785338,7,1849,
-1.4784124243917567,7,1899,
-1.553686353834637,7,1949,
-1.4471211939151782,7,1999,
,7,1999,-0.7935197389638525
-1.4161478508001037,8,2049,
-1.8438381590243087,8,2099,
-1.3238951227020102,8,2149,
-1.7208588243250207,8,2199,
-1.6371467829090263,8,2249,
,8,2249,14.007598386007603
-1.4224675979442871,9,2299,
-1.8335907716210014,9,2349,
-1.5334971139506963,9,2399,
-1.6497618738755238,9,2449,
-1.5326199769211046,9,2499,
,9,2499,49.049478934732846
-1.4740870873324157,10,2549,
-1.8579054467880358,10,2599,
-1.454595032265267,10,2649,
-1.7825723851389281,10,2699,
-1.5315963352712767,10,2749,
,10,2749,49.28597282084186
-1.2499090928551924,11,2799,
-1.8308103378769103,11,2849,
-1.6077593256026004,11,2899,
-1.7248914798135886,11,2949,
-1.6030103414442736,11,2999,
,11,2999,7.734694748251642
