train_loss,epoch,step,val_loss
-0.31321786271440155,0,49,
-0.44759291351405217,0,99,
-0.5317310816114196,0,149,
-0.6833528785343255,0,199,
-0.9808555532982299,0,249,
,0,249,8.917103460555428
-1.160295898854018,1,299,
-0.9125985838628285,1,349,
-1.330924842983314,1,399,
-1.2548319729440003,1,449,
-1.3730078360239943,1,499,
,1,499,2.117144147820404
-1.4916757717687652,2,549,
-1.0757974746207766,2,599,
-1.4574894562184986,2,649,
-1.3399533946848015,2,699,
-1.5787720369102676,2,749,
,2,749,8.270064636368874
-1.5539067588335982,3,799,
-1.2942386902140575,3,849,
-1.5017699962803894,3,899,
-1.4052012066396098,3,949,
-1.6960945677232977,3,999,
,3,999,6.174504298164841
-1.5652326012823774,4,1049,
-1.37514881263916,4,1099,
-1.6405366997682278,4,1149,
-1.530359914305432,4,1199,
-1.8166881813027804,4,1249,
,4,1249,4.807102789167298
-1.8020729094304202,5,1299,
-1.3400758871997462,5,1349,
-1.6860175855810124,5,1399,
-1.6196168170751202,5,1449,
-1.759713706620289,5,1499,
,5,1499,20.909872677226055
-1.6791640480696306,6,1549,
-1.3440106505600133,6,1599,
-1.679109608114934,6,1649,
-1.5632020779682492,6,1699,
-1.7322155566789021,6,1749,
,6,1749,0.05721960734748471
-1.7447463178920108,7,1799,
-1.5993985987077073,7,1849,
-1.6948023712257503,7,1899,
-1.7089305579752105,7,1949,
-1.636162214853707,7,1999,
,7,1999,1.6632463624411151
-1.7028858528335045,8,2049,
-1.5479936532018324,8,2099,
-1.6676255434120875,8,2149,
-1.6313893268800341,8,2199,
-1.7146088379324838,8,2249,
,8,2249,6.935760785534797
-1.7507816455861036,9,2299,
-1.4784589340599603,9,2349,
-1.7256166944714957,9,2399,
-1.557118516277241,9,2449,
-1.7906816737838263,9,2499,
,9,2499,11.792545769485105
-1.8475366430906812,10,2549,
-1.4517204315201533,10,2599,
-1.7825670671398979,10,2649,
-1.754775469146376,10,2699,
-1.650390850735579,10,2749,
,10,2749,11.578824741997261
-1.8133000920270004,11,2799,
-1.55841076952234,11,2849,
-1.7880403624318917,11,2899,
-1.6354927646166015,11,2949,
-1.757982585761922,11,2999,
,11,2999,13.214002290029638
