train_loss,epoch,step,val_loss
-0.6469978901278548,0,49,
-0.40195639526331384,0,99,
-0.7483376383599385,0,149,
-1.147530203322563,0,199,
-0.7884303083598381,0,249,
,0,249,-0.9141050023906319
-0.7238523040163916,1,299,
-0.4800800487002661,1,349,
-0.7694912194283612,1,399,
-1.1757378829316982,1,449,
-0.8199600546923627,1,499,
,1,499,-0.96264724748251
-0.9104611482954059,2,549,
-0.5827091710384602,2,599,
-0.9356887275800592,2,649,
-1.1939453781033338,2,699,
-0.7881808985483421,2,749,
,2,749,-0.9701813691185985
-0.9190627494748425,3,799,
-0.412916299458856,3,849,
-0.9070873228923633,3,899,
-1.235620454336635,3,949,
-0.7906043453808813,3,999,
,3,999,-0.970976184842526
-0.8738684729198489,4,1049,
-0.5102655104678302,4,1099,
-0.9003153651539986,4,1149,
-1.2281543815033515,4,1199,
-0.7191356312701469,4,1249,
,4,1249,-0.9733044782818498
-0.9710049617082319,5,1299,
-0.5115689718788827,5,1349,
-0.8437058940179085,5,1399,
-1.2913972199601966,5,1449,
-0.7909575093757306,5,1499,
,5,1499,-0.9858230380430563
-0.992567743789694,6,1549,
-0.6085435084113238,6,1599,
-0.9332850408412625,6,1649,
-1.2410793588780784,6,1699,
-0.7929555356788365,6,1749,
,6,1749,-0.991887626882491
-0.9668294494196452,7,1799,
-0.647474511246231,7,1849,
-0.9280508916574357,7,1899,
-1.250087687996274,7,1949,
-0.8230910487631116,7,1999,
,7,1999,-0.9893729206273778
-1.0316054146653189,8,2049,
-0.504941133899437,8,2099,
-1.024325995112708,8,2149,
-1.304025811771358,8,2199,
-0.8110167262125492,8,2249,
,8,2249,-0.9962486985527058
-0.9907116604590485,9,2299,
-0.6125048102624895,9,2349,
-0.9701225223621988,9,2399,
-1.2369048136629601,9,2449,
-0.8083298494577242,9,2499,
,9,2499,-1.0022877232836112
-0.9670681227774836,10,2549,
-0.748688490367555,10,2599,
-0.9889064506848779,10,2649,
-1.32657259207134,10,2699,
-0.8504399297946925,10,2749,
,10,2749,-0.9825654024921613
-1.024521795984616,11,2799,
-0.5766543103738737,11,2849,
-1.1712631531629993,11,2899,
-1.3247550773681267,11,2949,
-0.8876027029384188,11,2999,
,11,2999,-1.0068794101502825
-1.01160193586849,12,3049,
-0.5168091881681196,12,3099,
-0.9303747347813731,12,3149,
-1.3154956041692092,12,3199,
-0.8361449780689272,12,3249,
,12,3249,-1.0178950900961428
-1.056449041071387,13,3299,
-0.7235619651225678,13,3349,
-1.0956714724381147,13,3399,
-1.3253576290953362,13,3449,
-0.8391577423609933,13,3499,
,13,3499,-1.0171343562060706
-1.0704492751040107,14,3549,
-0.6402306583526558,14,3599,
-1.1629341193213723,14,3649,
-1.2924543577690537,14,3699,
-0.9004227974121344,14,3749,
,14,3749,-1.0115308530466278
-1.1334805238371413,15,3799,
-0.7168933015007246,15,3849,
-1.1202832945817702,15,3899,
-1.298361907859257,15,3949,
-0.9264677476900376,15,3999,
,15,3999,-1.0225811477920754
-1.1774934552965206,16,4049,
-0.7359959485457512,16,4099,
-1.2432114860405568,16,4149,
-1.3471466297020536,16,4199,
-0.929442459070331,16,4249,
,16,4249,-1.0306798296011903
-1.119809844495168,17,4299,
-0.6092000314246642,17,4349,
-1.2315046893880037,17,4399,
-1.2592433545529937,17,4449,
-0.9347066766115777,17,4499,
,17,4499,-1.021150491266225
-1.144075200952277,18,4549,
-0.722197924212499,18,4599,
-1.2469138983038333,18,4649,
-1.40047717602837,18,4699,
-0.9064889324326728,18,4749,
,18,4749,-1.0204546577971205
-1.2839710243171485,19,4799,
-0.8237298385043408,19,4849,
-1.233399223386935,19,4899,
-1.2989546912489978,19,4949,
-0.9231250794528183,19,4999,
,19,4999,-1.0259652258345984
-1.170584397452541,20,5049,
-0.711147717757453,20,5099,
-1.25870346439478,20,5149,
-1.3759322649828993,20,5199,
